word,frequency,start_date,end_date,rank
want,184,11/11/2020,19/11/2020,4
pleas,182,11/11/2020,19/11/2020,5
tell,174,11/11/2020,19/11/2020,6
spend,174,11/11/2020,19/11/2020,7
promis,173,11/11/2020,19/11/2020,8
wont,172,11/11/2020,19/11/2020,9
break,172,11/11/2020,19/11/2020,10
poverti,170,11/11/2020,19/11/2020,11
aid,170,11/11/2020,19/11/2020,12
import,169,11/11/2020,19/11/2020,13
push,168,11/11/2020,19/11/2020,14
report,166,11/11/2020,19/11/2020,15
extrem,165,11/11/2020,19/11/2020,16
150,165,11/11/2020,19/11/2020,17
threaten,165,11/11/2020,19/11/2020,18
aid,164,11/11/2020,19/11/2020,19
7,163,11/11/2020,19/11/2020,20
peopl,194,21/11/2020,29/11/2020,1
tier,177,21/11/2020,29/11/2020,2
vaccin,163,21/11/2020,29/11/2020,3
govern,160,21/11/2020,29/11/2020,4
onli,143,21/11/2020,29/11/2020,5
tori,141,21/11/2020,29/11/2020,6
restrict,130,21/11/2020,29/11/2020,7
mani,128,21/11/2020,29/11/2020,8
mps,120,21/11/2020,29/11/2020,9
rate,119,21/11/2020,29/11/2020,10
recoveri,111,21/11/2020,29/11/2020,11
worri,110,21/11/2020,29/11/2020,12
dictat,110,21/11/2020,29/11/2020,13
new,108,21/11/2020,29/11/2020,14
genuin,108,21/11/2020,29/11/2020,15
995,107,21/11/2020,29/11/2020,16
interact,107,21/11/2020,29/11/2020,17
overreach,107,21/11/2020,29/11/2020,18
dystopian,107,21/11/2020,29/11/2020,19
think,103,21/11/2020,29/11/2020,20
vaccin,426,01/12/2020,09/12/2020,1
peopl,191,01/12/2020,09/12/2020,2
restrict,157,01/12/2020,09/12/2020,3
death,130,01/12/2020,09/12/2020,4
govern,125,01/12/2020,09/12/2020,5
onli,115,01/12/2020,09/12/2020,6
mani,114,01/12/2020,09/12/2020,7
rate,106,01/12/2020,09/12/2020,8
de,100,01/12/2020,09/12/2020,9
die,97,01/12/2020,09/12/2020,10
dystopian,97,01/12/2020,09/12/2020,11
countri,94,01/12/2020,09/12/2020,12
mps,93,01/12/2020,09/12/2020,13
recoveri,90,01/12/2020,09/12/2020,14
worri,90,01/12/2020,09/12/2020,15
genuin,89,01/12/2020,09/12/2020,16
interact,89,01/12/2020,09/12/2020,17
dictat,88,01/12/2020,09/12/2020,18
995,88,01/12/2020,09/12/2020,19
